numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,CvsLogEntropy,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
3,5.9125,1,9.20801,0,3,1,1,6,0,1,6,0,1,2,1,3.09,3.05,4,25,1,1
6,6.8241,23,9.32581,10,81,14,1,17,91,48,27,4.04,4,8,4,7.11,3.03,11,14,13,1
2,0,2,0,0,6,2,1,2,1,2,2,0,1,1,1,1.01,2.02,2,9,2,1
2,8.9439,21,9.34787,9,265,15,1,0,105,70,9,3.25,15,6,14,1.03,0,16,0,8,0
1,0,2,0,3,15,2,1,0,1,10,3,1.02,2,0,2,3.03,2.02,2,9,2,1
3,1.49003,10,0.121386,5,42,4,3,1,6,18,6,0,1,1,1,1.01,1.1,4,43,4,1
3,3.26838,13,9.16383,4,27,5,2,2,10,17,6,0,3,2,0,0,1.01,5,41,5,1
1,1.84703,1,9.09329,0,3,1,3,0,0,1,0,0,1,2,1,0,2.03,2,27,1,1
1,0,1,0,3,8,1,1,0,0,8,3,0,0,0,0,0,2.04,1,56,1,1
9,14.8014,6,9.55998,4,37,4,2,0,6,13,4,3.15,2,12,2,1.01,4.13,20,25,3,1
8,6.87646,15,9.32549,10,55,7,1,6,21,26,15,2.03,3,7,3,1.01,1.05,12,51,5,1
1,0,2,0,0,6,3,1,1,3,3,1,0,1,1,1,0,2.02,1,9,3,1
0,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
0,1.84703,23,9.09329,0,122,15,1,1,105,45,1,0,6,2,6,0,1.01,3,9,5,1
1,3.08906,1,9.15957,0,3,8,1,6,28,8,6,1.01,0,2,0,1.01,1.02,3,19,8,1
8,14.5878,2,9.5031,1,8,2,1,4,1,6,5,0,1,15,0,2.02,0,21,0,2,1
4,5.24655,2,9.18913,0,3,1,2,1,0,1,1,0,1,2,1,0,3.05,6,26,1,1
4,11.9319,2,9.4329,0,8,3,1,0,3,5,0,0,1,8,1,0,0,10,0,2,1
4,8.50289,14,0.206051,2,67,10,1,0,45,20,2,1.01,8,5,8,2.02,0,6,0,9,1
3,4.50603,13,9.18344,3,149,8,1,0,28,38,3,0,8,3,8,0,0,7,0,2,1
4,5.63443,10,9.25922,9,50,8,1,3,28,32,11,1.2,2,5,2,3.09,2.03,12,9,8,1
4,6.32077,4,9.28597,0,16,3,1,1,3,6,1,1.07,1,7,1,1.02,0,11,0,3,1
0,1.84703,8,9.09329,2,20,2,1,0,1,6,2,0,1,2,1,0,1.02,2,18,2,1
2,4.58293,3,9.17116,0,9,3,2,4,3,4,4,0,2,3,2,2.02,2.04,4,19,2,1
1,0,7,0,9,32,3,3,1,3,20,10,0,2,0,2,0,1.1,2,43,3,1
0,0,1,0,1,3,1,3,0,0,2,1,0,0,0,0,0,0,1,14,0,1
0,0,86,0,12,461,26,1,1,325,134,13,0,20,0,13,0,0,1,0,11,1
3,11.1987,44,9.40008,11,162,5,1,1,10,82,12,1.05,2,5,2,4.04,2.02,10,9,2,1
4,1.49003,16,0.121386,1,51,16,2,0,120,32,1,0,2,0,2,0,0,4,27,16,1
7,11.1675,23,9.38386,4,106,6,3,1,15,36,5,2.15,0,8,0,1.02,4.21,12,28,2,1
0,0,1,0,0,3,1,1,0,0,2,0,0,14,0,1,0,0,2,0,1,1
3,7.5716,8,9.28042,1,30,4,1,8,6,12,9,2.05,2,4,1,6.1,2.02,7,9,4,1
11,18.5444,8,9.63176,9,69,4,1,1,6,30,10,4.14,0,14,0,7.07,2.02,29,10,3,1
1,0,9,0,1,27,7,2,1,21,10,2,0,1,1,1,0,2.02,1,15,7,1
36,31.2165,106,10.0512,12,336,60,1,220,1770,190,231,11.72,34,36,21,39.3,4.26,66,19,52,0
5,3.61466,84,0.083899,7,452,16,1,1,120,159,7,0,11,6,10,0,2.02,6,9,6,1
2,1.49003,6,0.121386,2,19,4,1,1,6,7,3,0,2,0,2,1.01,0,2,9,3,0
3,6.7028,13,9.24064,8,95,6,1,1,15,52,9,0,4,6,4,3.03,2.02,7,14,5,1
0,0,4,0,3,15,4,1,3,6,10,6,0,1,0,1,0,0,1,9,3,1
6,13.0751,6,9.409,7,34,1,1,2,0,25,9,1.05,0,7,0,2.04,2.02,13,9,1,1
7,16.988,9,9.56177,3,28,3,1,2,3,14,5,1.01,1,11,0,2.02,0,21,0,2,1
4,4.56874,5,9.22022,0,14,5,1,7,10,5,7,0,4,3,3,3.05,2.04,5,18,5,1
0,0,3,0,1,9,4,2,1,6,5,2,0,0,0,0,0,0,1,22,1,1
5,3.33706,49,9.21468,11,166,31,1,6,465,67,16,4.19,20,0,20,4.09,0,12,9,28,0
6,4.88878,60,9.22338,22,303,14,2,2,91,150,23,3.21,9,7,9,3.03,3.03,14,17,9,0
1,0,40,0,6,139,40,3,1,780,98,7,0,4,1,3,0,0,1,58,40,1
1,4.7898,12,9.21441,2,59,9,1,4,36,27,6,0,1,3,1,0,1.01,4,9,9,1
2,0.903836,16,0.026954,6,82,3,1,0,3,42,6,0,2,0,2,0,2.02,2,9,3,1
2,12.9773,14,9.44239,5,79,5,1,1,10,42,5,5.25,3,6,2,3.03,0,14,0,4,1
0,1.45219,9,0.040996,3,55,7,1,0,21,25,3,0,7,0,3,0,2.02,0,9,6,1
2,4.66839,14,9.21193,6,104,10,1,1,45,31,7,0,1,3,1,0,0,4,0,10,1
0,0,2,0,0,13,2,1,0,1,6,0,0,0,0,0,0,0,1,0,0,1
13,4.53504,62,9.20046,14,365,32,2,28,496,126,40,4.12,11,13,11,7.08,3.07,21,14,26,1
3,6.56833,17,9.23919,1,52,18,1,9,153,20,10,1.06,9,6,9,4.09,2.04,8,18,18,1
0,4.88878,64,9.22338,2,671,23,1,2,253,104,4,0,25,3,25,3.04,0,6,1,8,0
2,7.65102,12,0.241727,4,89,5,1,2,10,27,6,1.03,2,6,2,3.03,2.02,7,9,3,1
0,0,1,0,0,3,1,1,0,0,2,0,0,10,0,1,0,0,1,0,1,1
0,1.84703,8,9.09329,0,29,4,1,1,6,11,1,0,6,2,3,2.02,0,2,0,1,1
2,4.17741,29,9.19476,7,192,11,3,1,55,51,8,1.01,7,2,7,0,0,5,14,8,1
11,5.39677,75,9.26485,13,223,12,2,1,66,196,14,6.08,9,9,8,4.07,2.02,13,41,11,0
2,1.49003,38,0.121386,0,33,11,1,1,55,12,1,0,10,0,1,0,0,2,9,11,1
6,16.632,37,9.59087,17,207,12,1,3,66,93,20,3.05,9,10,8,7.07,0,17,0,10,1
1,1.45219,2,0.040996,0,11,2,1,1,1,3,1,0,6,0,0,0,2.02,1,10,2,1
6,12.2615,32,0.325269,2,109,26,1,1,325,41,3,1.01,9,11,3,1.01,3.19,17,19,24,1
0,0,5,0,0,18,5,1,0,10,5,0,0,59,0,4,0,2.02,1,9,4,1
1,0,1,0,0,3,1,1,0,0,1,0,0,1,1,1,0,0,1,26,1,1
4,12.3306,39,9.42886,1,114,26,1,12,325,51,13,0,11,8,10,3.03,2.02,11,9,25,1
0,2.56087,12,0.066568,2,46,8,1,0,28,26,2,0,2,0,0,0,2.02,0,14,8,1
0,1.84703,7,9.09329,2,24,9,4,3,36,14,5,0,2,1,1,0,1.03,3,51,8,1
2,5.5048,8,9.21892,2,53,2,1,0,1,12,2,0,0,2,0,0,0,5,0,2,1
2,4.13774,5,9.19488,4,21,5,2,0,10,13,4,1.04,7,4,7,1.02,1.01,5,14,5,1
1,3.13741,2,9.14037,0,6,2,2,0,1,2,0,0,0,2,0,0,2.02,3,17,1,1
4,10.3211,11,9.40557,3,45,3,2,0,3,19,3,2.02,3,8,3,2.02,2.02,13,16,3,1
3,5.25012,3,9.20025,1,11,3,1,1,3,4,1,0,2,4,2,0,0,5,0,3,1
2,5.42764,7,9.20698,1,23,3,1,1,3,19,2,0,1,2,1,0,0,6,0,3,1
2,3.17351,4,9.13106,1,31,1,1,0,0,3,1,1.02,3,2,3,0,1.09,5,9,1,1
1,3.32672,4,9.15394,2,21,1,1,0,0,11,2,0,0,2,0,0,0,4,0,1,1
2,3.95974,1,9.15318,0,6,2,1,0,1,3,0,0,1,3,1,0,0,3,0,2,1
3,4.92306,10,9.2306,3,45,7,1,5,21,19,8,0,2,3,2,1.01,1.01,6,9,7,1
6,7.03716,27,9.3603,10,115,16,1,54,120,58,60,2.11,11,8,10,12.41,0,12,0,13,0
5,7.65674,24,9.31213,6,89,6,1,0,15,28,6,2.14,1,6,1,3.04,3.11,9,18,2,1
2,4.15475,55,9.19857,9,135,9,1,1,36,35,10,1.01,1,4,1,0,0,5,0,2,1
2,5.4131,50,9.31602,11,142,10,2,2,45,57,13,2.05,0,4,0,0,2.02,7,11,5,1
1,3.37801,6,9.16485,5,18,5,2,0,10,10,5,0,1,3,1,0,1.01,4,17,5,1
2,4.72107,14,9.23015,3,47,9,1,7,36,19,10,2.09,3,3,3,3.09,1.01,4,9,8,1
4,7.04123,5,9.30937,2,34,5,2,1,10,23,3,4.06,1,5,1,1.01,6.09,11,32,4,1
2,8.32124,40,9.29455,6,120,7,2,1,21,75,6,0,4,3,4,0,2.04,6,30,7,1
7,15.5371,15,9.55857,6,54,10,1,1,45,28,7,2.09,1,8,1,1.01,2.02,14,9,10,1
5,1.49003,20,0.121386,6,99,14,1,4,91,52,10,1.05,4,0,4,3.03,0,5,9,10,1
2,3.91697,10,9.15227,0,30,10,1,0,45,10,0,0,6,3,6,0,2.04,4,18,10,1
4,5.94514,21,9.22122,5,55,8,2,1,28,22,6,0,4,5,4,1.02,2.06,7,41,8,1
0,0,3,0,2,9,3,2,2,3,5,4,0,1,0,1,0,0,1,10,3,1
3,6.89909,11,9.29908,2,64,6,2,1,15,42,3,2.04,2,7,2,1.01,6.09,10,32,5,1
20,15.5602,130,9.58483,20,523,12,1,1,66,248,21,12.61,17,23,17,8.16,4.13,35,51,6,0
0,1.84703,10,9.09329,1,11,1,1,0,0,2,1,0,11,2,0,0,1.01,3,9,1,1
4,7.42138,3,9.31496,9,39,2,2,2,1,18,11,2.03,0,5,0,3.05,2.02,7,10,2,1
0,3.4091,4,9.16273,4,33,1,1,0,0,17,4,0,1,1,1,0,1.01,3,10,1,1
2,1.49003,1,0.121386,0,3,1,3,1,0,1,1,0,0,0,0,1.01,1.1,2,28,1,1
3,1.49003,19,0.121386,6,75,3,1,6,3,28,12,0,9,0,5,2.02,0,3,9,2,1
1,0,1,0,0,3,1,1,0,0,2,0,0,7,2,1,0,0,2,0,1,1
3,6.61308,2,9.30932,4,9,2,3,0,1,11,4,4.5,0,7,0,3.07,4.2,9,31,2,1
1,4.57121,2,9.18643,1,6,7,1,6,21,11,7,0,0,2,0,2.04,2.02,4,9,7,1
3,6.00254,28,9.20964,1,81,23,1,2,253,29,3,0,12,2,11,0,2.04,5,18,23,1
4,1.49003,13,0.121386,8,57,4,3,1,6,27,9,0,2,0,2,1.01,1.1,4,43,4,0
3,3.62109,29,0.086085,4,106,4,1,0,6,34,4,0,8,2,4,1.01,0,5,0,2,1
0,0,5,0,1,25,3,1,1,3,8,2,0,1,0,1,0,0,1,0,3,1
1,4.46389,7,9.17814,1,21,7,2,2,21,12,3,0,2,3,2,0,3.19,4,28,7,1
3,3.95726,32,0.10122,6,184,7,1,0,21,97,6,1.08,1,1,1,3.04,2.02,4,9,7,1
0,1.84703,3,9.09329,0,11,3,1,3,3,3,3,0,2,1,2,2.03,1.01,3,12,3,1
1,0,66,0,32,400,27,2,3,351,175,33,0,3,1,2,0,0,1,36,21,0
2,5.14521,2,0.180548,4,14,2,1,0,1,9,4,3.06,3,2,0,2.05,1.21,5,0,1,1
0,4.57121,1,9.18643,1,4,2,1,1,1,5,2,0,0,2,0,0,2.02,4,10,2,1
4,7.12446,12,9.3806,9,77,9,1,3,36,52,12,1.02,2,5,2,2.05,1.01,10,9,7,1
5,3.83471,117,9.1954,39,707,51,2,5,1275,344,43,4.27,20,3,14,2.02,3.03,9,68,29,0
6,2.38141,27,9.07779,12,160,15,2,1,105,94,13,3.17,6,0,5,5.06,2.09,7,12,13,1
3,5.56937,17,9.23948,5,49,3,2,1,3,30,6,1.03,9,3,9,0,4.15,8,22,3,1
3,12.9827,6,9.47512,1,19,6,1,0,15,7,1,1.01,6,7,6,2.02,2.04,11,18,6,1
7,20.0263,22,9.70076,9,99,13,2,3,78,47,12,2.03,3,11,3,4.05,2.02,18,17,13,1
0,0,2,0,1,13,2,1,0,1,7,1,0,0,0,0,0,0,1,0,0,1
42,32.4143,19,10.0941,4,72,27,1,70,351,41,74,13.42,1,54,1,34.14,2.02,78,9,27,1
0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,1,0,1,1
0,0,20,0,12,99,7,1,0,21,78,12,1.12,1,1,1,0,0,1,9,4,0
3,1.49003,5,0.121386,8,35,3,3,1,3,18,9,1.04,3,0,3,2.03,1.1,4,43,3,1
4,5.94514,39,9.22122,2,81,14,1,2,91,34,4,0,7,5,7,1.02,2.04,7,18,14,1
0,0,28,0,1,54,7,1,1,21,18,2,0,2,0,2,0,0,1,9,3,1
1,1.84703,7,9.09329,9,32,6,1,2,15,21,11,1.1,9,1,9,1.04,1.02,3,19,6,1
1,0,2,0,0,6,2,2,1,1,2,1,0,1,1,1,0,0,1,54,2,1
0,1.84703,3,9.09329,2,24,1,1,0,0,8,2,0,0,2,0,0,1.01,2,9,1,1
1,3.17351,7,9.13106,2,22,9,1,5,36,13,7,0,1,2,0,1.01,3.19,3,19,8,1
4,5.94514,25,9.22122,2,59,10,1,1,45,22,3,0,5,5,5,1.02,2.04,7,18,10,1
3,4.82202,1,9.23158,0,3,2,1,4,1,2,4,0,0,3,0,3.04,0,5,0,2,1
1,1.84703,3,9.09329,0,10,3,1,3,3,3,3,0,3,2,3,1.01,1.02,2,18,3,1
3,12.9863,13,9.48988,7,51,10,1,6,45,26,12,4.06,5,11,4,4.04,3.48,15,0,8,1
8,13.4695,10,9.49479,7,45,5,1,4,10,25,11,4.16,1,10,0,5.09,0,18,0,5,1
7,14.5746,5,9.53237,2,20,1,2,0,0,4,2,4.17,0,12,0,4.07,4.04,15,11,1,1
1,1.84703,2,9.09329,0,6,2,1,1,1,2,1,0,1,2,1,0,1.01,2,10,2,1
3,15.6422,2,0.507632,0,5,2,1,1,1,2,1,6.27,0,8,0,6.13,0,20,0,1,1
0,1.84703,7,9.09329,1,12,2,1,1,1,10,2,0,0,1,0,1.01,0,2,9,2,1
0,3.39209,10,9.15904,2,47,6,1,1,15,16,3,0,5,2,5,0,0,4,0,3,1
4,10.8599,5,9.38469,1,48,5,1,1,10,14,2,0,4,5,4,0,0,9,0,4,1
0,3.17351,0,9.13106,0,0,0,1,0,0,0,0,0,0,2,0,0,2.02,2,9,0,1
5,2.38141,7,9.07779,4,73,4,1,0,6,32,4,3.07,0,0,0,2.02,0,9,0,4,0
2,5.41242,9,9.19356,1,39,10,1,2,45,22,3,0,3,3,2,0,2.02,5,14,10,1
2,1.49003,5,0.121386,2,15,7,2,42,21,11,44,1.01,1,1,1,3.1,1.1,3,36,6,1
0,2.56087,0,0.066568,0,0,1,1,1,0,1,1,0,1,0,0,0,3.05,0,25,1,1
3,7.9553,0,9.28668,0,0,1,1,1,0,1,1,0,17,4,1,0,2.04,6,18,1,1
0,1.84703,3,9.09329,1,10,1,1,0,0,4,1,0,0,1,0,0,0,2,0,1,1
2,5.63443,13,9.25922,7,89,8,1,1,28,34,8,1.04,6,4,6,3.03,1.01,9,9,6,1
0,4.57121,5,9.18643,1,17,3,2,1,3,8,1,0,2,2,2,1.01,5.1,3,15,3,1
5,4.17741,64,9.19476,6,169,26,1,13,325,82,18,2.12,11,5,11,6.11,1.01,6,9,26,1
1,1.05195,7,0.024721,1,40,2,2,0,1,16,1,0,1,2,1,3.03,0,2,2,2,1
3,1.49003,23,0.121386,2,105,7,1,2,21,15,4,0,7,0,7,0,0,3,32,7,1
1,6.45512,21,0.209384,1,60,10,1,19,45,19,20,0,5,3,5,3.06,2.04,4,18,10,1
0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,1,0,1,1
1,1.84703,0,9.09329,0,0,4,1,2,6,4,2,0,0,1,0,0,1.01,2,9,4,1
1,0,18,0,5,129,8,2,0,28,86,5,1.09,3,3,3,0,1.01,3,32,7,1
1,5.86159,9,9.23351,3,71,7,1,0,21,27,3,0,2,3,2,0,0,4,0,4,1
2,4.81344,22,9.22957,8,95,4,1,1,6,40,9,1.1,7,4,7,3.07,2.02,4,9,2,1
0,0,1,0,0,3,1,1,0,0,1,0,0,1,1,1,0,2.03,1,25,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
2,0,28,0,17,117,8,1,2,28,59,19,1.02,4,0,3,0,0,3,0,1,0
0,1.84703,2,9.09329,1,8,2,1,1,1,4,2,0,2,1,1,0,0,2,0,2,1
1,0,2,0,0,7,2,2,2,1,2,2,0,2,0,2,0,1.01,1,26,2,1
2,6.55674,9,9.24365,0,64,6,1,0,15,12,0,0,7,4,7,0,0,5,0,4,1
7,8.64868,7,9.36553,8,32,2,1,1,1,19,8,3.03,1,8,1,2.02,0,13,0,2,1
4,10.1236,19,9.41541,3,37,2,1,2,1,22,5,1.01,2,7,2,3.03,2.02,10,9,2,1
1,0,7,0,0,22,7,1,1,21,10,1,0,2,0,2,0,0,1,14,7,1
0,1.84703,3,9.09329,1,7,2,1,2,1,5,3,0,0,1,0,0,0,3,0,2,1
4,2.38141,22,9.07779,11,76,12,1,6,66,37,17,3.27,5,0,5,4.11,0,5,0,10,1
0,1.84703,3,9.09329,4,15,2,1,1,1,11,4,0,2,2,2,3.03,1.01,3,9,2,1
27,28.3288,19,9.98275,2,57,22,1,28,231,26,29,8.37,2,29,2,13.24,2.02,59,9,22,1
1,0,19,0,7,74,8,2,2,28,41,9,0,6,0,6,0,0,2,17,7,0
2,1.49003,36,0.121386,12,172,20,2,5,190,71,17,2.27,12,1,12,3.07,1.05,6,5,16,1
7,2.38141,27,9.07779,26,134,18,3,11,153,53,37,2.47,2,1,2,4.34,3.3,10,57,14,1
4,7.41746,2,9.29759,0,29,2,1,0,1,4,0,0,2,5,2,0,3.11,8,18,2,1
4,8.86173,12,9.29333,0,56,4,1,1,6,5,1,0,21,6,1,1.01,2.02,7,9,4,1
8,9.60419,29,9.42582,17,225,11,2,0,55,99,17,6.08,8,12,8,3.12,3.08,17,19,4,0
3,10.5192,3,9.3994,1,13,2,4,0,1,6,1,0,0,4,0,0,4.24,6,36,1,1
1,4.17741,10,9.19476,5,72,7,1,5,21,30,9,1.04,3,3,0,1.01,1.01,6,9,7,1
3,4.78742,7,9.20494,0,21,7,2,3,21,7,3,0,4,4,4,0,2.06,5,31,7,1
0,0,21,0,6,149,11,1,1,55,51,7,0,5,0,5,3.03,2.02,1,9,9,1
1,0,16,0,0,64,17,2,1,136,17,1,0,0,0,0,0,0,1,27,17,1
1,7.65396,10,9.32519,1,41,4,1,4,6,19,5,1.01,1,5,1,2.02,2.02,7,9,4,1
1,0,7,0,4,26,5,4,1,10,10,5,0,3,1,3,0,0,1,78,2,0
0,1.92,13,0.046532,3,99,10,1,0,45,34,3,0,3,1,0,2.02,0,2,0,5,1
0,0,4,0,1,13,4,1,7,6,6,8,0,3,1,3,0,0,2,18,4,1
1,0,5,0,4,16,5,1,0,10,12,4,1.02,2,1,2,0,0,2,9,5,1
1,5.55245,8,9.25394,3,36,6,1,1,15,25,3,0,6,4,5,0,0,6,0,5,1
3,1.49003,2,0.121386,0,6,3,2,2,3,3,2,0,1,0,1,0,0,3,20,3,1
2,0,13,0,3,42,3,1,0,3,12,3,0,0,2,0,0,0,2,0,3,1
4,3.37801,25,9.16485,9,105,7,1,2,21,55,11,0,7,4,7,0,1.01,7,9,4,1
1,8.1358,25,9.31815,5,71,16,2,1,120,37,6,1.01,3,6,2,2.02,2.02,9,17,14,0
3,6.32077,6,9.28597,1,18,6,1,110,15,16,110,2.07,1,4,0,10.34,1.01,7,9,6,1
5,3.33706,6,9.21468,3,18,4,2,2,6,9,5,0,3,0,3,2.02,1.1,5,22,2,1
0,0,5,0,1,15,5,1,0,10,9,1,0,1,1,1,3.03,2.02,1,9,5,1
0,4.46389,8,9.17814,1,27,4,4,1,6,7,2,0,2,3,0,1.01,4.09,4,47,2,1
4,5.66744,24,9.31615,4,71,16,3,28,120,34,32,2.04,7,7,4,9.16,2.04,9,59,16,1
0,0,1,0,0,3,1,1,0,0,2,0,0,5,0,1,0,0,1,0,1,1
5,7.23028,10,9.26065,3,81,9,1,0,36,32,3,0,3,5,2,0,0,11,0,5,1
2,2.59751,4,0.063078,0,18,6,1,0,15,10,0,0,5,3,1,0,0,5,0,4,1
8,22.6267,8,9.77908,6,81,4,1,2,6,16,8,2.05,4,18,3,6.08,0,26,0,4,1
1,9.66678,10,9.38971,9,45,3,1,1,3,31,10,2.02,3,7,1,4.05,2.02,8,9,3,1
2,6.03561,4,9.21154,1,12,3,1,3,3,6,4,0,0,2,0,2.02,0,4,0,3,1
15,22.2761,19,9.71468,7,96,10,4,3,45,48,10,2.07,4,17,4,2.03,8.3,28,78,5,0
1,4.17741,8,9.19476,3,39,5,1,1,10,18,4,0,3,2,3,1.01,1.01,4,11,4,1
2,10.0294,12,9.34947,2,39,10,1,5,45,13,7,0,3,4,3,2.02,2.02,7,9,10,1
4,4.65476,13,9.17414,2,53,10,2,1,45,26,3,0,3,4,3,1.01,1.38,6,2,10,1
2,1.84703,6,9.09329,6,39,4,3,1,6,22,7,1.01,1,3,1,0,2.04,3,48,1,0
1,0,22,0,5,106,12,1,2,66,36,7,0,4,1,4,0,0,1,9,8,1
0,0,1,0,0,3,1,1,0,0,2,0,0,19,0,1,0,0,1,0,1,1
0,0,1,0,1,6,1,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0
0,4.52937,8,9.18508,2,30,7,1,1,21,18,3,0,1,2,1,1.01,2.02,4,9,7,1
9,6.99647,51,9.32067,12,274,25,1,62,300,147,74,4.14,11,14,6,11.34,1.01,20,17,21,1
5,8.68864,2,9.33585,3,8,2,2,1,1,5,4,2.04,1,6,1,4.04,1.02,10,10,1,1
1,4.6171,0,9.20101,0,0,1,1,3,0,1,3,0,0,3,0,2.02,2.02,5,9,1,1
3,1.49003,8,0.121386,6,37,4,3,1,6,20,7,1.02,2,0,1,0,1.1,3,43,4,1
2,6.00895,1,9.24389,2,14,1,1,0,0,8,2,1.01,0,4,0,1.01,0,10,0,0,1
6,12.5641,8,9.47964,3,25,5,1,0,10,14,3,3.06,1,11,1,5.06,0,14,0,5,1
3,11.6905,13,9.41291,5,71,5,2,0,10,33,5,1.02,4,9,4,3.03,3.05,12,25,4,1
0,0,3,0,1,9,3,2,2,3,4,3,0,1,0,1,0,0,1,10,3,1
1,1.84703,4,9.09329,2,14,2,2,1,1,11,3,0,4,2,0,0,2.02,2,24,2,1
4,1.49003,3,0.121386,1,9,4,2,1,6,5,2,0,0,0,0,1.01,1.1,4,22,1,0
1,4.8068,35,9.2181,6,96,7,1,1,21,44,7,0,2,3,2,0,0,4,0,4,1
2,5.65725,11,0.145766,0,22,3,3,0,3,3,0,0,0,0,0,0,2.02,2,76,1,1
0,0,37,0,6,192,9,1,1,36,42,7,0,10,1,10,0,1.03,1,35,4,1
4,3.08906,8,9.15957,5,42,6,1,11,15,18,16,4.05,0,1,0,3.03,1.01,6,9,5,1
1,0,6,0,2,18,6,1,0,15,14,2,0,0,1,0,0,0,1,9,6,1
1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,9,1,1
9,5.91074,7,9.29674,6,35,3,3,1,3,15,7,6.5,0,9,0,5.22,3.07,15,48,1,0
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
1,6.00254,3,9.20964,1,8,3,1,0,3,4,1,0,0,2,0,0,2.02,3,9,3,1
3,8.01196,17,0.205621,2,58,15,1,4,105,21,6,0,6,0,5,2.02,2.02,3,16,15,1
1,4.10346,13,9.18766,1,41,12,1,5,66,14,6,1.08,7,3,7,2.02,1.01,4,9,12,1
8,13.8586,41,9.49844,22,527,20,1,5,190,182,27,3.17,23,13,17,9.15,0,16,0,14,1
6,11.6412,106,9.4779,15,510,25,1,0,300,211,15,2.67,51,12,51,9.17,2.02,18,16,16,1
7,14.3434,10,9.5017,14,125,5,1,1,10,49,14,2.06,1,10,1,3.06,2.02,13,9,5,1
4,6.32664,1,9.22729,0,3,1,2,0,0,1,0,0,0,5,0,0,5.05,8,17,0,0
0,0,21,0,3,46,2,1,1,1,24,4,0,0,0,0,0,0,2,9,2,1
2,3.33706,21,9.21468,9,96,8,1,0,28,51,9,0,3,1,3,0,0,4,0,7,1
3,0.903836,5,0.026954,5,78,3,1,0,3,46,5,0,1,0,0,1.01,2.02,3,9,3,1
0,4.57121,1,9.18643,2,4,2,2,1,1,5,3,0,1,2,0,0,2.02,4,16,1,1
1,0,9,0,8,77,5,1,0,10,42,8,1.01,2,0,2,1.01,0,3,0,3,0
5,9.83332,4,9.35375,2,18,1,1,0,0,8,2,2.22,0,5,0,4.09,0,13,0,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,14,0,1,0,0,2,0,1,1
2,0,6,0,3,22,6,2,1,15,10,3,0,5,0,4,0,1.1,3,22,1,1
3,6.16641,7,9.25944,3,22,3,1,1,3,12,4,1.01,0,5,0,1.01,2.02,6,9,3,1
4,5.94514,25,9.22122,2,60,10,3,4,45,23,6,0,5,5,5,1.02,2.08,7,52,10,1
5,11.3548,27,9.38878,11,98,5,2,0,10,37,11,2.03,8,6,4,2.03,2.02,12,17,3,1
3,8.85527,2,9.32913,1,11,2,1,1,1,6,2,0,1,3,0,0,0,7,0,2,1
1,1.84703,7,9.09329,1,25,5,1,6,10,15,7,0,1,1,1,3.03,1.01,2,9,5,1
4,5.94514,67,9.22122,2,125,22,1,0,231,58,2,1.12,11,5,11,3.04,2.04,7,18,22,1
3,10.2323,7,9.37499,1,33,7,1,1,21,14,2,1.02,0,9,0,2.02,2.02,12,9,6,1
2,3.30805,39,9.16371,21,322,22,3,3,231,136,24,0,20,2,17,0,0,5,14,11,0
0,1.84703,8,9.09329,1,19,4,1,0,6,11,1,0,0,2,0,0,0,2,0,3,1
2,3.37801,4,9.16485,4,54,2,2,0,1,21,4,0,2,3,2,1.01,2.02,4,32,2,1
4,1.49003,18,0.121386,6,63,11,1,3,55,32,9,2.03,4,0,0,2.02,0,4,9,7,0
9,12.458,22,9.46104,10,123,7,1,2,21,54,12,7.33,6,15,6,14.17,2.02,27,9,2,0
4,10.2198,7,9.35596,0,22,2,1,0,1,5,0,0,2,3,0,0,2.02,9,9,2,1
3,1.49003,3,0.121386,1,9,4,2,1,6,5,2,0,1,0,1,1.01,1.1,3,22,1,1
3,0,16,0,2,38,6,1,3,15,20,5,2.15,1,0,1,2.03,0,4,9,6,0
12,23.6596,18,9.72422,12,123,10,1,4,45,44,16,4.1,4,14,3,4.05,0,32,0,8,1
2,5.36881,16,9.23287,7,134,14,1,5,91,51,10,0,5,5,5,0,0,8,0,4,0
2,5.35876,2,9.21849,0,5,2,1,0,1,2,0,0,0,3,0,0,2.02,5,9,2,1
0,0,19,0,0,57,19,1,0,171,21,0,0,7,0,1,2.02,7.03,2,9,19,1
