numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,ck_oo_numberOfAttributes,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
11,5.94911,58,6,258,17,2,1,136,79,6,10,0,0.028154,2.02,11,0,0.007363,15,14,6.05,1
0,2.42975,4,4,19,2,3,1,1,13,5,1,0,0.004481,3.03,0,0,0.010398,12,2,0,1
3,5.70339,31,6,93,21,1,37,210,54,43,7,6.1,0.017826,2.04,3,0.001763,0.00831,18,15,2.17,1
2,5.55317,18,1,46,4,1,1,6,22,2,3,3.03,0.06007,3.06,2,0,0.010398,18,4,2.36,1
1,1.23854,3,5,16,3,3,0,3,14,5,1,0,0.051922,0,1,0,0,36,1,0,1
3,4.90018,6,4,18,4,2,1,6,10,5,2,3.05,0.012112,5.18,3,0.001978,0.01144,33,2,2.98,1
1,0.60098,3,2,9,3,2,1,3,9,3,1,0,0.003885,0,1,0,0,50,3,0,1
1,3.66829,4,2,14,4,2,1,6,11,3,1,0,0.056403,3.03,1,0,0.010398,11,4,0,1
7,9.10209,20,2,68,8,2,3,28,16,5,8,3.03,0.027211,6.18,7,0.003733,0.014727,42,6,2.4,1
1,1.25985,12,7,66,3,1,1,3,40,8,4,0,0.036499,0,1,0,0,9,2,0,1
0,1.03163,217,3,604,20,1,1,190,103,4,19,0,0.001205,3.03,0,0,0.010398,9,5,0,1
4,4.10964,32,4,98,10,1,1,45,34,5,4,1.03,0.01719,1.1,4,0.003733,0.003391,0,6,1.04,0
1,1.35264,162,1,919,12,2,0,66,104,1,14,0,0.035057,0,1,0,0,35,1,0,1
2,5.96744,4,2,24,4,4,2,6,9,4,2,0,0.018997,4.07,2,0,0.011467,50,4,0,0
0,2.67407,19,9,63,7,3,1,21,40,10,5,0,0.004457,3.06,0,0,0.010398,44,4,0,1
3,4.42816,10,2,40,3,3,0,3,23,2,2,1.01,0.088681,3.03,3,0.00273,0.02032,16,3,1.11,1
1,0.792859,1,0,3,6,1,2,15,6,2,1,0,0.012267,0,1,0,0,9,0,0,1
3,6.78032,9,3,32,4,2,2,6,10,5,3,2.02,0.080572,3.03,3,0,0.010398,11,3,1.07,1
0,0,5,0,19,2,1,2,1,2,2,3,0,0,3.03,0,0,0.010398,9,1,1.01,1
2,1.54522,22,5,96,11,2,2,55,25,7,7,1.01,0.027315,1.01,2,0,0.004518,15,3,1.26,1
3,4.88853,4,0,9,2,2,2,1,5,2,1,1.01,0.060395,4.14,3,0,0.011007,19,2,0,1
2,5.27155,16,3,83,8,2,1,28,34,4,8,0,0.059968,3.03,2,0,0.008406,24,7,1.01,1
2,7.3729,4,0,12,6,1,50,15,9,50,1,11.47,0.017639,3.03,2,0,0.010398,9,4,2.12,0
0,1.64243,0,0,0,0,1,0,0,0,0,5,0,0.003252,3.03,0,0,0.010398,9,0,0,1
3,5.15836,8,2,20,5,2,10,10,14,12,1,2.03,0.021792,3.06,3,0,0.010398,29,4,0,1
1,1.26735,1,1,11,1,3,2,0,3,3,2,0,0.012094,0,1,0,0,22,1,0,1
6,10.68,10,6,48,9,2,6,36,24,12,6,4.07,0.074745,3.06,6,0.005716,0.010398,15,9,4.38,1
6,8.8814,7,5,22,6,2,8,15,15,13,0,4.07,0.063816,3.09,6,0,0.010398,39,5,1.02,1
0,0,3,4,13,2,2,0,1,8,4,2,2.02,0,3.06,0,0.005716,0.010398,15,2,0,1
5,2.69376,4,1,10,3,2,6,3,5,7,0,5.05,0.010337,1.01,5,0,0.005149,11,3,0,1
1,3.85212,2,0,7,2,1,6,1,3,6,19,0,0.055213,3.03,1,0,0.010398,9,1,0,1
4,5.56724,10,6,70,5,1,2,10,35,8,3,1.03,0.014013,2.02,4,0.001763,0.00831,9,5,3.2,1
1,3.28866,9,7,45,5,3,1,10,33,8,1,3.06,0.007742,2.07,1,0.010588,0.004949,46,4,1.25,1
1,2.99922,164,4,312,22,1,1,231,157,5,8,3.03,0.009026,3.03,1,0.007776,0.010398,9,8,1.01,1
0,0,10,4,29,4,3,2,6,10,6,2,2.02,0,5.05,0,0.02301,0.024375,16,4,2.04,1
1,1.18716,12,2,36,2,4,0,1,14,2,0,0,0.010376,1.01,1,0,0.01201,24,1,0,1
1,3.67974,28,9,85,9,3,0,36,27,9,10,2.02,0.008335,4.04,1,0.003144,0.013377,17,6,1.02,1
1,3.28866,2,0,6,2,4,0,1,2,0,0,1.02,0.007742,4.21,1,0.001763,0.037859,64,2,1.12,1
1,4.12294,4,2,14,4,1,4,6,11,6,1,1.01,0.057371,3.03,1,0,0.010398,10,4,1.03,1
2,4.2341,4,3,14,2,3,0,1,10,3,1,1.01,0.038533,5.05,2,0.00273,0.024375,16,2,2.03,1
2,5.27595,2,0,5,2,3,0,1,3,0,1,1.03,0.010726,8.12,2,0.000659,0.027347,29,1,2.1,0
3,5.5234,37,5,128,11,1,3,55,39,8,16,2.03,0.031898,3.03,3,0.001059,0.010398,16,6,3.9,1
2,9.97613,7,7,25,5,3,6,10,19,13,1,1.01,0.015043,4.19,2,0.03059,0.038159,49,4,2.26,1
1,1.23854,3,3,13,2,2,0,1,8,3,0,0,0.051922,0,1,0,0,39,2,0,1
0,0,4,4,31,3,1,2,3,19,6,1,0,0,3.03,0,0,0.010398,9,3,0,1
0,0,58,3,171,8,1,1,28,123,4,2,0,0,3.03,0,0,0.010398,9,1,0,1
1,2.55041,2,15,51,2,1,0,1,27,15,0,0,0.053311,3.03,1,0,0.010398,9,2,0,1
1,1.17486,3,3,13,2,1,2,1,5,5,2,0,0.003618,2.02,1,0,0.00831,9,2,0,1
10,23.8003,46,8,149,21,2,30,210,94,36,5,10.15,0.119711,3.09,10,0.002371,0.010398,39,20,3.13,1
0,2.94415,14,1,38,9,2,8,36,18,9,2,2.03,0.005154,3.03,0,0,0.010398,15,6,0,1
1,0.60098,5,1,22,3,1,1,3,7,2,3,0,0.003885,2.06,1,0,0.00831,29,2,0,1
1,2.49732,2,0,5,2,1,0,1,2,0,0,0,0.053226,3.03,1,0,0.010398,10,2,0,1
1,1.35264,479,1,2864,42,2,0,861,312,1,34,0,0.035057,0,1,0,0,35,1,0,1
0,2.67407,4,1,13,2,1,3,1,12,4,0,0,0.004457,3.03,0,0,0.010398,9,2,0,1
6,3.38172,0,0,0,2,1,1,1,2,1,0,0,0.01522,1.01,6,0,0.005149,9,0,0,1
5,9.12701,22,7,147,6,1,4,15,52,11,6,3.04,0.060772,3.03,5,0.004299,0.010398,9,4,2.17,1
1,0.792859,0,0,0,2,1,1,1,2,1,0,0,0.012267,0,1,0,0,9,0,0,1
1,3.28866,6,1,23,6,1,10,15,12,11,3,2.07,0.007742,2.02,1,0.001763,0.00831,9,5,3.11,1
1,2.82217,3,3,12,3,2,71,3,8,74,0,23.43,0.006996,3.06,1,0.00273,0.010398,15,3,1.09,1
0,0,2,0,13,2,1,4,1,3,4,8,0,0,0,0,0,0,9,2,0,1
2,2.35,0,0,0,1,2,1,0,1,1,0,0,0.009963,3.05,2,0,0.01129,21,1,0,1
0,1.45008,5,4,86,4,1,1,6,12,5,2,1.01,0.002148,3.06,0,0,0.010398,18,4,0,1
0,2.29636,4,0,14,2,2,5,1,4,5,2,3.04,0.013768,4.14,0,0,0.011007,19,2,0,1
1,0.788836,6,1,17,3,1,1,3,7,2,9,0,0.010028,0,1,0,0,9,2,1.05,0
2,5.42599,1,0,4,1,2,1,0,1,1,1,1.01,0.058268,3.06,2,0,0.010398,21,0,0,1
5,4.9693,56,26,269,11,1,1,55,144,27,5,1.01,0.103994,0,5,0.004723,0,9,5,2.04,1
2,4.01909,2,2,10,2,3,4,1,4,6,1,1.03,0.089419,2.02,2,0,0.017159,16,2,1.01,1
0,1.64243,0,0,0,0,1,0,0,0,0,1,0,0.003252,3.03,0,0,0.010398,9,0,0,1
11,13.5448,24,3,98,13,2,9,78,34,12,7,6.1,0.077401,4.11,11,0.003803,0.009344,24,10,4.38,1
1,0.792859,8,3,32,5,2,2,10,12,5,7,0,0.012267,0,1,0,0,11,3,0,1
3,4.66519,51,7,151,16,2,1,120,80,7,10,2.02,0.09934,4.05,3,0.00542,0.021972,16,9,1.2,1
6,7.52307,27,12,163,4,1,1,6,43,13,5,4.07,0.028488,3.03,6,0.006915,0.010398,9,2,6.07,1
1,4.04759,6,4,35,2,2,0,1,12,4,2,0,0.00828,3.03,1,0,0.010398,15,2,0,1
1,4.12294,4,2,14,4,1,3,6,11,5,1,1.01,0.057371,3.03,1,0,0.010398,10,4,1.03,1
1,2.82217,3,3,12,3,2,44,3,8,47,0,8.12,0.006996,3.06,1,0.00273,0.010398,15,3,1.09,1
0,1.64243,2,1,7,1,4,0,0,3,1,0,0,0.003252,13.41,0,0,0.05882,80,1,0,1
1,0.792859,0,0,0,4,1,2,6,4,2,0,0,0.012267,0,1,0,0,9,0,0,1
0,2.67407,8,4,29,4,3,2,6,15,6,0,0,0.004457,3.06,0,0,0.010398,47,4,0,1
0,1.31187,19,2,75,14,1,1,91,24,3,6,0,0.001388,5.07,0,0,0.023042,21,13,0,1
1,0.792859,5,5,26,5,2,1,10,14,6,7,0,0.012267,0,1,0,0,13,4,0,1
0,0,2,4,11,2,2,0,1,7,4,3,0,0,0,0,0,0,15,2,0,1
0,1.43177,24,8,183,10,1,4,45,73,12,7,0,0.001468,3.03,0,0,0.010398,9,0,1.02,1
1,2.86107,29,3,115,16,1,1,120,33,4,4,1.01,0.005575,3.03,1,0.003144,0.010398,9,12,0,1
1,1.23854,3,2,11,2,2,0,1,5,2,0,0,0.051922,0,1,0,0,39,2,0,1
1,2.88097,2,3,26,2,1,3,1,10,6,0,0,0.055174,3.03,1,0,0.010398,9,1,0,1
3,4.23089,11,9,66,5,2,0,10,41,9,4,0,0.017526,3.03,3,0,0.010213,33,3,2.1,1
2,4.08464,2,2,7,2,3,0,1,4,2,0,0,0.010541,3.06,2,0,0.006006,42,2,1.03,1
3,6.26449,21,11,137,12,1,5,66,67,15,8,2.03,0.063472,3.09,3,0.00283,0.010398,32,6,1.01,1
10,8.56136,14,6,53,5,2,2,10,28,8,1,3.03,0.022202,3.03,10,0.004493,0.010398,13,3,3.13,1
2,3.00249,40,5,154,16,1,3,120,57,8,12,1.01,0.013489,2.02,2,0,0.00831,9,14,1.14,1
0,1.25878,29,15,199,12,1,1,66,69,16,10,2.02,0.001304,0,0,0.00542,0,0,11,1.05,1
1,1.35264,51,1,345,7,2,0,21,32,1,8,0,0.035057,0,1,0,0,35,1,0,1
1,1.35264,206,1,1131,17,2,0,136,127,1,17,0,0.035057,0,1,0,0,35,1,0,1
1,4.65286,4,6,52,4,1,1,6,25,7,1,1.01,0.057135,3.03,1,0.00273,0.010398,9,3,0,1
0,0,4,3,15,2,3,2,1,8,5,1,0,0,0,0,0,0,16,1,0,1
3,10.4552,29,7,170,11,3,10,55,59,17,2,4.05,0.045984,4.1,3,0.001313,0.021972,44,11,3.41,0
0,0,12,4,33,5,3,1,10,13,5,2,2.02,0,5.05,0,0.02301,0.024375,16,5,1.01,1
7,4.8362,10,4,38,7,2,2,21,23,6,7,3.03,0.066661,3.03,7,0.009448,0.010213,33,4,3.09,1
1,3.14666,11,2,49,3,1,1,3,17,3,0,0,0.054023,3.03,1,0,0.010398,10,3,0,1
3,3.78532,7,1,23,8,2,4,28,13,5,1,1.01,0.060428,2.04,3,0.000976,0.00831,23,8,1.02,1
0,5.25817,8,0,24,8,1,1,28,8,1,4,0,0.01315,3.03,0,0,0.010398,9,8,0,1
0,1.64243,3,1,11,2,2,0,1,3,1,0,0,0.003252,4.04,0,0,0.012964,19,0,0,1
0,0,6,4,18,4,3,1,6,12,5,2,0,0,0,0,0,0,24,2,0,1
0,2.99495,4,4,19,2,3,1,1,14,5,1,1.01,0.0053,3.03,0,0.001313,0.010398,12,2,0,1
2,4.46352,1,3,24,1,2,0,0,14,3,0,2.04,0.01136,3.12,2,0.005496,0.010098,23,0,1.26,1
2,6.08433,9,1,30,6,2,2,15,13,3,2,3.03,0.011362,3.06,2,0.00106,0.010398,15,6,2.13,1
1,1.50087,64,13,268,21,1,1,210,160,14,11,0,0.041747,0,1,0,0,48,14,0,1
3,10.4963,13,7,36,10,3,20,45,33,27,1,9.13,0.046183,4.1,3,0,0.021972,44,10,3.59,1
0,8.85763,23,7,84,12,1,99,66,49,103,1,16.47,0.012153,3.09,0,0,0.010398,27,11,0,1
7,16.2091,17,3,49,6,3,11,15,13,14,0,9.21,0.111507,7.96,7,0.022652,0.029353,104,6,5.21,0
0,4.11562,12,3,23,6,1,1,15,14,4,1,0,0.006748,3.03,0,0,0.010398,12,6,0,1
2,2.76873,17,3,57,4,1,2,6,26,5,5,0,0.037311,7.14,2,0,0.041644,27,2,0,1
2,5.30545,9,0,28,6,3,10,15,14,10,2,3.07,0.095268,1.01,2,0.020279,0.005149,16,6,2.1,1
1,2.88097,13,4,44,3,1,2,3,26,6,2,1.01,0.055174,3.03,1,0.001313,0.010398,9,1,0,1
1,2.99256,9,0,26,3,2,1,3,3,1,3,0,0.007056,3.03,1,0,0.010398,31,3,0,1
1,4.7258,24,8,168,10,1,4,45,72,12,7,0,0.057847,3.03,1,0,0.010398,9,0,1.04,1
1,3.85212,2,16,53,2,1,0,1,27,16,0,0,0.055213,3.03,1,0,0.010398,9,2,0,1
0,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,0,0,9,0,0,1
15,19.4885,67,7,267,26,2,3,325,156,10,9,4.05,0.071681,13.25,15,0.013756,0.05882,58,20,7.63,1
0,2.60998,8,1,25,1,1,1,0,7,2,0,0,0.006416,3.03,0,0,0.010398,10,1,0,1
0,2.67407,19,2,75,14,1,1,91,24,3,6,0,0.004457,4.05,0,0,0.011467,19,13,0,1
1,1.35264,4,2,9,3,4,1,3,6,3,0,0,0.035057,1.03,1,0,0.027761,80,1,0,1
2,2.62836,43,17,226,17,1,5,136,128,20,8,2.02,0.065835,0,2,0.00604,0,18,10,1.59,1
2,7.70696,47,12,206,4,1,0,6,78,12,0,4.05,0.023586,3.03,2,0.009826,0.010398,9,3,3.94,1
2,5.06827,4,10,37,2,1,1,1,22,11,1,2.02,0.088151,3.03,2,0.02301,0.010398,10,2,1.02,1
0,0,8,4,38,2,3,1,1,10,5,2,2.02,0,5.05,0,0.02301,0.024375,16,2,1.01,1
4,8.939,32,2,115,11,3,1,55,64,3,4,3.03,0.075733,4.04,4,0.00729,0.013377,17,7,2.08,1
0,2.52248,244,23,822,47,1,1,1081,284,24,37,1.01,0.002712,3.03,0,0.00273,0.010398,9,30,0,1
0,4.06683,12,6,35,7,3,1,21,25,7,2,0,0.006276,3.06,0,0,0.010398,44,6,0,1
2,4.70954,27,5,126,6,1,13,15,56,18,8,7.09,0.01246,3.03,2,0.001313,0.010398,9,5,2.25,1
1,1.18032,10,1,45,6,1,1,15,10,2,4,1.01,0.010886,0,1,0,0,9,6,0,1
0,1.64243,5,3,16,3,2,2,3,8,5,0,0,0.003252,4.04,0,0,0.012964,19,0,0,1
3,4.35401,50,25,469,18,1,3,153,277,27,10,2.02,0.128742,0,3,0.020279,0,9,17,2.12,0
5,3.17313,2,2,13,2,1,1,1,4,3,6,1.14,0.031317,0,5,0,0,9,1,6.66,0
0,1.64243,2,0,12,2,1,2,1,2,2,4,0,0.003252,3.03,0,0,0.010398,9,0,0,1
0,4.11562,11,3,22,5,1,0,10,12,3,1,0,0.006748,3.03,0,0,0.010398,12,5,0,1
3,4.10317,8,2,32,3,3,1,3,13,3,5,1.01,0.086961,4.04,3,0.00273,0.022288,16,2,1.03,0
0,0,3,5,19,1,1,0,0,7,5,0,0,0,3.03,0,0,0.010398,10,1,0,1
1,1.35264,116,1,644,8,2,0,28,63,1,12,0,0.035057,0,1,0,0,35,1,0,1
0,0,14,1,66,4,3,2,6,15,3,9,0,0,4.05,0,0,0.012366,16,2,1.02,1
2,2.40151,13,7,60,7,1,2,21,25,9,6,1.01,0.009604,2.02,2,0,0.00831,9,6,1.16,1
2,7.83578,18,6,98,12,3,7,66,31,13,2,5.06,0.041286,4.1,2,0,0.021972,44,12,2.18,1
1,5.48549,39,9,166,14,1,20,91,71,29,0,6.06,0.019629,3.03,1,0.006733,0.010398,9,13,1.04,1
2,3.69563,10,2,79,6,2,4,15,18,6,11,2.03,0.037238,2.02,2,0,0.00831,15,0,2.08,1
1,3.05437,20,7,81,9,1,1,36,47,8,2,3.03,0.034789,3.03,1,0.02407,0.010398,15,8,1.01,1
0,0,5,4,19,3,2,1,3,14,5,3,3.03,0,3.06,0,0.007029,0.010398,15,3,0,1
2,2.6029,4,1,16,2,2,1,1,3,2,0,0,0.005742,4.04,2,0,0.012964,19,0,1.05,1
2,7.36559,10,11,58,2,1,1,1,29,12,5,5.1,0.093312,3.03,2,0.029742,0.010398,10,2,3.38,1
2,7.22218,21,13,88,9,3,3,36,44,16,4,2.03,0.014772,4.12,2,0.031902,0.038159,49,8,2.1,1
0,0,48,13,176,15,1,3,105,74,16,7,6.1,0,3.03,0,0.009437,0.010398,9,9,8.79,1
11,11.4058,27,6,185,10,1,4,45,78,10,10,3.04,0.106372,3.03,11,0.002955,0.010398,9,0,9.89,1
0,1.31187,301,3,947,32,1,1,496,167,4,19,0,0.001388,3.03,0,0,0.010398,9,5,0,1
0,1.43177,21,8,102,14,2,1,91,63,9,5,0,0.001468,8.12,0,0,0.027347,27,14,0,1
0,2.67407,2,2,7,2,3,1,1,4,3,0,0,0.004457,3.06,0,0,0.010398,45,2,0,1
2,2.76004,4,3,19,2,4,0,1,6,3,2,1.01,0.037532,1.01,2,0.020279,0.005149,22,2,0,1
1,6.50047,4,5,17,3,2,1,3,12,6,2,2.04,0.011607,3.06,1,0.03332,0.010398,15,3,1.11,1
1,2.83909,10,5,51,2,1,1,1,19,6,6,2.02,0.007953,3.03,1,0.005046,0.010398,9,2,0,1
11,11.9647,18,5,64,18,1,69,153,35,74,2,23.5,0.119783,3.03,11,0.008112,0.010398,9,17,7.8,0
1,3.28866,5,0,18,5,1,7,10,5,7,4,0,0.007742,2.02,1,0,0.00831,9,5,0,1
3,3.46561,10,2,45,3,3,1,3,17,3,7,1.01,0.038924,4.04,3,0.00273,0.022288,16,2,0,0
2,2.6029,33,7,107,13,3,1,78,44,8,9,0,0.005742,4.04,2,0,0.013377,17,6,1.05,1
2,4.08464,2,2,7,2,4,0,1,4,2,0,0,0.010541,3.08,2,0,0.006006,44,2,1.03,1
1,2.5984,79,1,225,1,1,1,0,2,2,3,0,0.053425,3.03,1,0,0.010398,9,1,0,1
0,1.64243,36,4,135,12,3,2,66,51,6,11,2.02,0.003252,3.03,0,0.001313,0.010398,24,4,0,1
1,1.17515,0,0,0,4,1,26,6,4,26,0,3.05,0.006345,0,1,0,0,9,4,0,1
0,1.43177,40,12,188,13,1,0,78,80,12,19,2.02,0.001468,3.03,0,0.005979,0.010398,9,2,0,1
3,3.6986,3,2,11,3,2,0,3,9,2,1,0,0.061516,3.05,3,0,0.01129,21,3,1.04,1
4,9.68386,28,9,90,11,2,20,55,54,28,5,10.12,0.130155,3.09,4,0.001313,0.010398,39,10,1.18,1
8,9.37718,13,2,62,8,3,1,28,24,3,14,3.28,0.061982,4.05,8,0.001759,0.012366,16,7,5.44,0
24,25.5769,60,15,332,16,1,3,120,119,17,11,6.1,0.172332,3.03,24,0.055021,0.010398,9,0,14.17,0
0,0,6,3,30,5,2,1,10,11,4,8,0,0,0,0,0,0,11,0,0,1
2,4.52366,4,3,16,4,2,0,6,10,3,1,2.02,0.014082,2.03,2,0.004754,0.004949,39,4,1.07,1
81,39.6054,484,28,2630,126,1,66,7875,908,91,59,37.57,0.242303,3.03,81,0.05365,0.010398,9,55,60.56,0
2,2.74289,4,5,32,3,1,2,3,12,7,7,0,0.005624,3.03,2,0,0.010398,9,3,0,1
0,2.99495,2,4,19,2,3,1,1,8,5,1,0,0.0053,3.03,0,0,0.010398,12,2,0,1
2,4.50602,3,2,9,3,3,0,3,6,2,0,4.07,0.008537,5.13,2,0.000845,0.014314,27,3,1.31,1
4,8.43595,23,4,97,14,2,4,91,41,8,5,3.04,0.028819,8.12,4,0,0.027347,27,14,1.01,1
0,2.67407,7,3,18,6,1,1,15,12,4,2,0,0.004457,3.03,0,0,0.010398,9,5,0,1
1,1.29819,4,1,18,4,1,2,6,8,3,0,0,0.006035,1.01,1,0,0.005149,9,4,0,1
3,4.2341,11,2,32,2,3,10,1,8,12,2,3.04,0.038533,5.05,3,0.00273,0.024375,16,2,2.02,1
3,8.08193,3,1,10,3,2,4,3,5,5,1,2.03,0.056707,4.04,3,0,0.012366,13,2,1.04,0
8,11.1794,12,4,30,8,2,7,28,16,11,1,4.06,0.074991,3.09,8,0,0.010398,39,7,2.07,1
1,10.3086,14,3,37,10,1,16,45,17,18,2,9.09,0.016314,3.06,1,0.00106,0.010398,18,10,1.15,1
1,3.81886,6,2,45,6,1,2,15,20,4,2,0,0.056466,3.03,1,0,0.010398,9,0,0,1
1,1.09884,1,0,3,1,1,5,0,1,5,0,2.02,0.002528,5.07,1,0,0.038662,27,1,0,1
1,1.45269,7,4,26,6,1,0,15,15,4,3,0,0.003502,2.02,1,0,0.00831,13,4,0,1
1,1.17515,16,0,73,5,2,2,10,7,2,8,0,0.006345,0,1,0,0,13,4,0,1
0,4.31109,0,0,0,2,1,18,1,2,18,0,5.07,0.010414,3.03,0,0,0.010398,9,2,0,1
1,7.41088,20,12,76,10,2,13,45,44,24,2,2.12,0.010159,3.09,1,0.03059,0.010398,39,8,1.32,1
0,0,3,4,14,3,2,0,3,10,4,3,2.02,0,3.06,0,0.005716,0.010398,15,3,0,1
0,0,2,2,7,2,2,0,1,4,2,0,0,0,3.06,0,0,0.010398,15,2,0,1
2,4.83343,21,7,102,14,2,1,91,64,8,5,0,0.059179,8.12,2,0,0.027347,27,14,0,1
0,0,5,0,16,5,1,4,10,5,4,2,1.01,0,3.03,0,0,0.010398,9,5,0,1
1,0.792859,0,0,0,5,1,2,10,5,2,0,0,0.012267,0,1,0,0,9,0,0,1
1,3.28866,9,3,28,9,3,0,36,13,3,1,1.01,0.007742,4.12,1,0.001763,0.037859,55,9,1.1,1
1,3.81886,16,5,88,8,2,1,28,35,6,5,0,0.056466,5.08,1,0,0.01379,33,7,0,1
0,0,4,1,25,2,2,1,1,3,2,2,0,0,3.03,0,0,0.010398,11,2,0,1
4,5.52249,3,1,9,3,2,8,3,4,9,1,3.08,0.044665,4.04,4,0,0.012366,13,2,1.03,1
1,4.92899,3,4,32,2,1,0,1,14,4,0,0,0.009014,3.03,1,0,0.010398,9,1,1.01,1
0,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,0,0,9,0,0,1
1,3.28866,6,5,19,4,2,0,6,14,5,2,1.01,0.007742,2.03,1,0.001763,0.004949,39,4,1.03,1
1,0.60098,15,3,71,4,1,1,6,47,4,4,1.01,0.003885,0,1,0.004292,0,9,0,0,1
15,17.9349,58,10,313,15,1,3,105,73,13,15,4.06,0.09447,3.06,15,0.005624,0.010398,18,1,10.4,1
1,1.22665,4,3,33,2,1,0,1,16,3,1,0,0.005986,1.01,1,0,0.005149,9,2,0,1
1,3.28866,6,6,40,3,3,0,3,28,6,0,3.05,0.007742,2.07,1,0.010588,0.004949,46,2,1.26,1
2,3.30197,10,6,40,7,3,1,21,24,7,1,0,0.073247,3.05,2,0,0.01129,22,7,0,1
3,13.4571,54,7,85,15,3,5,105,49,12,6,2.04,0.099344,4.19,3,0.031902,0.038159,49,13,1.2,0
1,1.35264,155,1,866,12,2,0,66,92,1,13,0,0.035057,0,1,0,0,35,1,0,1
0,0,26,2,140,2,3,1,1,8,3,9,3.03,0,4.05,0,0.007475,0.012366,16,2,1.01,1
0,1.43177,68,17,285,32,1,1,496,105,18,22,9.09,0.001468,3.03,0,0.036706,0.010398,9,28,2.08,1
1,1.09884,1,0,3,1,1,1,0,1,1,0,0,0.002528,5.07,1,0,0.038662,27,1,0,1
