numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
5,10.2069,39,8,166,126,10,3,1,45,40,1.01,9,2.13,7,1.01,3.06,6,44,10,2.64,1
3,6.9656,56,11,165,18,17,2,7,136,81,2.02,18,2.05,4,2.02,4.04,3,62,2,3.07,1
2,9.51627,35,7,99,0,7,1,1,21,36,1.01,7,2.03,5,1.01,1.01,2,8,0,2.15,1
2,7.44972,55,1,163,40,14,3,9,91,17,0,10,2.04,2,0,14.2,2,71,13,2.09,1
2,7.2883,11,2,39,384,7,6,1,21,14,0,3,0,1,2.02,5.06,2,79,7,0,1
1,1.29357,33,8,153,0,4,1,1,6,25,0,9,1.02,13,0,0,1,16,4,1.21,0
12,12.0762,56,9,230,415,6,6,1,15,87,0,10,2.02,2,0,7.1,12,117,6,2.03,1
19,24.5715,100,15,337,384,16,4,4,120,119,3.03,19,9.31,8,4.04,5.06,20,77,16,10.75,0
2,9.52046,6,1,23,69,5,7,3,10,9,0,3,2.03,1,1.01,12.33,2,229,4,2.07,1
1,6.70304,5,2,14,0,3,2,2,3,5,0,4,0,2,0,1.01,1,15,2,0,1
17,20.2507,191,15,707,52,19,2,1,171,221,4.08,16,7.78,10,4.08,3.03,17,25,3,11.21,1
3,3.80102,12,3,50,0,2,2,2,1,18,1.02,5,1.13,3,2.03,1.03,4,39,1,1.42,1
4,4.66145,1,0,4,5,1,2,2,0,1,0,2,0,2,2.03,2.03,4,25,1,1.01,1
9,10.2625,31,2,123,11,16,2,1,120,43,2.02,3,5.44,5,2.02,5.09,14,18,16,5.17,0
2,3.58477,12,2,51,0,8,2,1,28,13,0,3,0,7,0,0,2,25,7,0,1
62,30.9896,216,51,830,68,79,4,28,3081,442,8.09,69,20.75,4,12.14,8.21,73,200,67,25.71,0
29,29.0867,169,21,546,262,24,2,72,276,157,3.04,87,9.37,12,5.06,7.07,30,80,19,11.43,0
7,7.95479,35,3,141,95,16,3,1,120,65,0,4,0,7,0,3.05,8,73,7,0,1
4,7.07936,157,16,606,0,27,1,2,351,306,3.04,17,4.17,13,3.04,0,7,8,9,4.33,0
1,4.07501,3,1,14,400,2,5,1,1,4,0,2,0,1,0,4.04,1,65,2,0,1
1,6.94335,4,4,15,388,2,6,1,1,9,1.04,5,1.06,0,1.04,7.09,1,81,2,1.09,1
0,4.07501,1,0,3,0,1,1,1,0,1,0,1,0,6,0,2.03,0,23,1,0,1
0,0,8,4,32,389,3,6,1,3,13,1.01,5,0,1,1.01,7.1,0,83,3,0,1
101,31.5924,331,34,1106,0,39,2,4,741,369,8.17,35,18.1,7,8.17,7.11,110,43,2,26.02,0
9,15.52,25,6,100,69,5,5,1,10,31,3.03,7,5.17,3,3.04,11.16,10,54,3,7.23,0
1,4.07501,5,2,16,386,3,8,1,3,10,0,3,0,0,0,4.05,1,103,3,0,1
5,13.2788,51,15,195,8,7,2,0,21,77,3.04,15,4.12,2,3.04,2.03,5,19,6,5.24,0
6,17.7564,50,7,258,0,16,1,5,120,65,3.03,11,2.12,28,3.03,1.01,8,8,13,3.62,1
4,6.84846,35,7,141,95,16,3,1,120,70,0,7,1.01,7,0,2.02,5,73,7,1.03,1
0,6.26221,4,3,17,1,4,2,1,6,7,0,4,1.01,5,0,2.02,0,11,4,1.04,1
0,4.07501,17,1,47,0,5,1,3,10,11,0,4,0,4,1.01,1.01,0,8,5,0,1
12,12.2134,36,12,112,1,14,2,2,91,50,0,13,2.04,11,1.01,1.01,13,12,9,2.18,1
18,17.1181,88,10,306,52,18,3,25,153,94,4.08,35,8.62,11,7.15,6.07,21,27,6,11.89,0
5,7.9636,86,10,321,0,18,2,1,153,66,2.02,11,3.39,12,2.02,0,7,11,4,7.7,1
0,4.07501,5,1,17,0,4,1,1,6,10,0,2,0,1,0,1.01,0,11,3,0,1
26,25.6173,46,15,190,18,8,2,2,28,73,6.11,15,10.64,9,6.11,4.04,31,62,3,14.29,1
1,4.07501,5,2,16,384,3,7,1,3,10,0,3,0,0,0,4.05,1,99,3,0,1
17,16.2509,47,19,185,62,21,5,4,210,86,3.03,22,8.25,2,6.08,9.25,19,202,13,8.45,1
1,2.57538,25,1,74,68,7,2,1,21,17,0,1,0,2,0,1.01,2,33,4,0,1
0,0,39,6,142,0,7,2,0,21,23,0,6,0,16,0,0,1,11,3,0,1
24,21.221,49,12,142,392,5,5,1,10,65,4.04,13,8.47,5,4.04,5.06,27,93,4,9.87,1
5,1.15638,7,0,27,78,8,1,5,28,12,0,5,1.09,6,1.01,0,6,8,4,1.2,1
11,20.4932,38,11,132,397,8,5,13,28,56,0,23,5.07,1,3.04,3.03,13,64,8,8.28,1
2,8.50122,54,3,172,0,25,1,14,300,43,0,17,2.1,4,1.01,1.01,3,8,23,2.24,1
3,13.2396,11,3,35,28,8,2,26,28,15,1.02,29,3.07,6,3.06,2.02,3,16,8,2.11,1
0,6.20089,16,2,57,380,11,3,2,55,25,0,4,1.03,16,4.04,2.02,1,46,11,1.08,1
47,28.9486,292,13,736,0,36,1,7,630,267,2.02,18,17.93,5,5.05,1.01,49,8,3,22.69,0
16,11.6167,94,23,312,52,20,4,11,190,150,4.08,33,5.38,0,5.14,11.2,19,141,14,5.83,1
5,14.1631,52,3,155,0,3,1,2,3,59,1.01,5,6.19,32,1.01,1.01,8,8,2,6.54,1
2,1.09529,78,9,299,0,13,1,3,78,51,0,11,0,10,0,0,2,8,1,1.06,1
7,12.7023,20,11,92,380,7,3,0,21,34,2.03,11,3.06,5,2.03,2.02,8,38,7,4.19,1
1,4.07501,2,3,12,0,2,1,1,1,5,0,4,0,2,0,1.01,1,8,1,0,1
10,14.9973,79,16,271,12,9,1,3,36,116,4.04,19,5.12,6,4.04,1.01,14,11,4,6.34,1
7,9.44802,66,6,189,0,15,1,6,105,81,2.02,12,3.11,15,1.01,1.01,8,8,13,2.04,1
1,4.07501,4,0,13,28,4,2,3,6,4,0,3,0,3,0,2.02,1,16,3,0,1
2,2.36846,12,1,55,0,4,1,2,6,21,4.04,3,1.01,0,5.05,1.01,2,8,3,0,1
2,6.43425,15,3,36,68,4,2,1,6,13,0,4,0,1,0,4.04,2,33,3,0,0
5,10.9911,44,4,233,7,19,2,4,171,60,2.02,8,4.08,3,1.01,4.07,5,40,14,2.12,1
0,4.07501,4,0,11,0,2,2,1,1,2,0,1,0,3,0,1.01,1,11,1,0,1
1,6.70304,14,2,44,0,7,1,6,21,20,0,8,0,2,0,1.01,1,8,6,0,1
0,4.07501,3,1,11,68,3,2,1,3,4,0,2,0,1,0,4.04,0,33,2,0,1
1,4.13043,84,6,276,55,12,2,1,66,126,0,6,0,5,0,2.02,2,27,0,1.06,1
3,7.25753,24,5,131,114,2,1,1,1,38,0,6,0,1,0,1.01,5,9,2,0,1
7,9.78944,18,4,57,52,12,4,2,66,30,3.03,6,2.06,2,3.03,9.16,7,131,8,2.09,1
45,24.8471,480,1,2140,0,11,1,3,55,281,1.01,4,12.45,262,1.01,1.01,63,8,9,15.81,0
0,2.2601,2,0,6,0,2,1,0,1,3,0,0,1.01,0,0,0,1,8,1,1.03,1
8,14.7589,57,6,220,95,15,3,1,105,85,0,7,3.05,3,0,3.05,9,73,5,3.11,0
1,7.90701,35,5,69,68,5,2,1,10,30,0,5,2.1,1,0,4.04,2,33,4,2.15,0
5,5.04743,1,0,7,67,1,6,2,0,2,0,2,0,2,0,10.15,5,58,1,0,0
3,6.93237,11,0,34,384,9,5,4,36,9,0,4,0,3,0,4.05,3,85,9,1.01,1
0,1.70656,8,2,21,2,6,1,3,15,9,0,5,0,2,1.01,1.01,0,10,6,0,1
23,17.5543,125,29,516,34,19,3,2,171,278,4.08,31,6.27,3,4.08,4.04,26,78,1,5.34,0
3,6.00951,12,5,52,0,6,1,33,15,30,0,38,0,2,6.08,0,3,0,6,0,1
18,0,188,22,849,406,50,3,4,1225,230,4.09,26,22.49,7,5.1,4.06,21,20,9,28.86,1
2,2.50899,17,5,49,61,4,4,0,6,24,0,5,0,0,0,4.04,2,45,2,1.01,0
2,7.15525,16,4,85,385,5,6,0,10,16,1.01,4,0,2,1.01,5.06,2,79,5,0,1
0,4.07501,4,3,15,1,3,3,1,3,8,0,4,0,2,0,1.01,0,31,3,0,1
7,7.95479,24,4,98,95,14,3,1,91,49,0,5,0,5,0,2.02,8,73,5,0,1
1,5.56106,30,2,117,0,10,1,6,45,24,0,8,0,4,4.04,1.02,1,16,9,1.08,1
3,3.58431,6,1,17,396,5,7,1,10,8,0,2,1.01,2,0,8.1,3,102,5,1.03,1
2,1.78303,0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,3,8,1,0,1
3,12.2036,17,3,63,386,10,6,2,45,27,0,5,4.1,6,1.01,8.1,3,95,9,4.33,1
3,8.13317,2,0,9,35,2,4,8,1,2,0,8,0,2,1.01,3.05,3,47,2,0,1
13,19.8025,2,1,6,0,2,1,6,1,3,0,7,0,313,3.07,0,17,0,1,0,0
3,4.8759,40,12,123,0,17,2,1,136,53,0,13,0,12,0,1.01,3,32,14,0,1
22,22.3638,55,20,251,3,10,3,3,45,82,7.14,21,12.4,3,7.14,2.04,25,17,1,8.84,0
7,7.95479,27,4,106,95,14,3,1,91,51,0,4,0,5,0,3.05,8,73,5,0,1
9,7.95479,32,5,128,95,16,3,1,120,64,0,6,0,7,0,2.02,10,73,7,0,1
118,42.2808,419,90,1531,0,54,1,17,1431,572,12.2,102,28,27,11.19,1.01,135,9,19,35.73,0
7,17.6471,18,5,82,0,13,1,2,78,46,1.02,7,6.35,1,1.02,1.01,7,8,13,6.62,1
5,10.0345,13,12,61,61,3,4,1,3,32,2.02,13,2.02,7,2.02,9.1,6,45,2,1.03,1
0,4.07501,1,0,3,2,1,2,2,0,1,0,2,0,0,0,3.08,0,33,1,0,1
44,37.4003,321,30,1069,140,38,1,68,703,312,8.09,84,22.33,27,21.36,1.01,44,8,27,30.53,0
5,8.13684,7,0,19,152,6,2,7,15,7,1.02,7,2.02,3,3.07,1.01,5,41,5,2.05,1
2,7.15525,16,4,85,385,5,6,0,10,16,1.01,4,0,1,1.01,5.06,2,79,5,0,1
1,8.02975,52,2,136,0,14,1,35,91,34,1.01,37,1.21,15,4.36,1.01,2,8,12,2,1
4,7.95479,13,3,47,95,11,3,12,55,29,0,15,0,3,2.02,2.02,5,73,2,0,1
13,13.596,115,22,673,416,41,2,1,820,174,0,23,3.07,7,0,1.01,15,8,1,3.26,1
22,20.0781,117,4,423,0,53,1,2,1378,241,1.01,6,8.93,5,1.01,1.01,24,8,33,12.46,1
2,6.49901,33,6,146,38,21,3,4,210,61,0,10,1.01,5,0,1.03,2,118,4,0,1
2,13.1052,13,7,44,380,6,3,1,15,28,3.04,8,2.04,2,4.05,2.02,3,38,6,1.01,1
64,43.9774,1042,37,6113,249,62,1,18,1891,1095,14.22,50,34.16,22,14.23,1.01,69,8,39,79.97,0
5,11.6815,15,8,80,0,5,1,6,10,29,0,14,1.01,39,2.02,1.01,7,8,3,2.1,1
8,7.35509,89,3,325,0,15,1,1,105,52,2.02,4,1.13,16,2.03,1.08,8,8,12,4.71,1
6,8.94796,31,11,156,5,7,2,1,21,61,0,12,3.04,0,0,2.02,7,19,2,3.09,1
11,10.0952,93,8,387,143,13,3,4,78,125,0,12,4.88,16,0,2.02,11,40,10,7.47,1
1,6.8559,6,0,18,0,6,1,0,15,6,0,0,1.01,0,0,1.01,1,8,6,1.03,1
1,0,3,1,10,52,3,5,2,3,5,0,3,0,1,0,0,1,138,2,0,1
0,4.07501,4,1,17,384,3,3,1,3,8,0,2,0,0,0,2.02,0,31,3,0,1
8,15.6896,449,13,2262,131,27,1,0,351,368,1.01,13,2.59,45,1.01,1.01,10,8,3,5.71,1
16,17.5057,57,18,222,69,28,6,4,378,126,4.05,20,8.34,1,5.06,13.37,17,227,22,7.79,1
20,11.9023,16,2,54,61,9,5,0,36,20,2.06,2,3.16,9,2.06,10.15,21,49,5,3.52,0
4,11.8809,7,1,16,0,4,1,1,6,10,2.02,2,3.1,3,3.03,1.01,4,8,3,5.25,0
4,3.17913,75,3,312,20,8,3,4,28,18,0,7,0,0,0,2.08,4,84,8,2.24,1
5,11.6504,27,11,127,67,13,5,1,78,77,3.03,12,3.38,0,3.03,8.22,6,194,7,2.45,1
26,27.8349,119,14,435,2,36,2,1,630,113,11.13,15,11.31,17,11.13,6.08,27,41,31,16.97,1
2,5.26853,7,3,23,143,4,3,1,6,10,0,4,0,1,0,2.02,3,40,3,1.04,1
1,7.45849,5,0,16,388,3,5,2,3,6,0,2,1.01,0,1.01,7.09,2,78,3,1.04,1
9,6.84846,40,6,156,95,19,3,5,171,73,0,10,1.02,10,3.03,3.05,11,73,7,1.03,1
10,13.7497,55,15,222,52,25,4,5,300,78,2.06,20,3.25,7,5.09,9.18,13,129,16,6.01,0
10,7.95479,42,4,158,95,20,3,1,190,74,0,5,0,9,2.04,3.05,11,73,9,0,1
16,25.0807,37,11,105,384,8,5,10,28,55,4.05,20,9.24,2,7.08,8.09,16,87,6,7.26,1
8,23.7357,18,9,72,384,6,4,1,15,37,4.04,10,4.08,3,4.04,5.06,9,69,6,5.19,1
8,10.3262,31,16,140,12,6,1,1,15,55,1.01,17,2.04,2,1.01,1.01,10,11,4,1.13,1
9,11.0281,17,10,64,28,8,4,2,28,38,2.02,12,3.09,1,2.02,4.1,9,91,2,2.23,1
0,1.06049,4,1,17,0,4,1,4,6,8,0,5,0,2,2.02,0,0,8,4,0,1
8,11.1338,22,5,62,0,5,1,11,10,18,0,16,4.06,3,5.06,1.01,9,8,5,4.18,1
2,4.23423,3,1,19,0,3,1,1,3,4,1.01,2,2.18,6,1.01,2.08,3,8,1,2.65,1
7,7.95479,27,5,106,95,14,3,1,91,54,0,6,0,5,0,2.02,8,73,5,0,1
21,22.2053,100,20,274,69,13,3,1,78,89,3.03,20,7.17,1,3.03,4.04,24,37,2,4.13,0
26,22.412,74,15,217,380,11,3,2,55,81,3.03,17,6.21,4,3.03,2.02,26,38,10,7.36,0
1,6.77104,12,0,37,152,12,2,3,66,14,1.01,3,2.03,1,3.03,1.01,1,41,11,2.06,1
4,7.97103,5,0,15,0,5,1,2,10,5,0,2,0,1,0,1.01,5,8,5,0,1
0,1.35903,7,9,27,11,3,4,1,3,19,0,10,0,2,0,2.02,0,64,2,0,1
2,6.92698,3,0,9,34,3,4,1,3,3,0,1,1.01,0,0,4.04,2,84,1,0,1
2,4.07501,5,2,15,95,14,2,6,91,19,1.01,8,0,0,3.04,2.02,3,68,10,0,1
0,4.07501,1,0,4,10,1,2,1,0,1,0,1,0,1,0,1.02,0,13,0,0,0
17,18.4584,8,6,57,28,7,2,1,21,17,1.03,7,2.08,0,1.03,7.09,21,25,3,5.24,1
23,25.0221,66,14,269,19,13,2,2,78,89,5.07,15,10.55,3,5.07,6.15,28,37,2,13.7,0
1,2.27054,37,3,144,0,10,1,0,45,40,0,3,0,4,0,1.01,1,8,7,1.11,1
1,5.0061,74,8,222,388,7,3,1,21,47,0,9,0,1,0,4.04,1,33,4,1.02,1
7,9.05061,5,4,14,0,2,1,9,1,11,1.01,13,1.01,6,2.02,2.03,8,23,2,1.01,1
9,7.95479,28,4,109,95,15,3,1,105,55,0,4,0,5,0,3.05,10,73,6,0,1
8,6.15815,8,4,30,419,3,7,2,3,12,0,6,0,2,0,5.07,10,115,3,1.03,1
25,20.5304,71,16,232,6,22,2,1,231,90,2.02,16,8.15,8,3.03,5.05,32,30,20,9.53,1
1,4.07501,3,1,12,2,3,2,1,3,4,0,2,0,2,0,3.08,2,33,3,0,1
12,6.36941,28,4,110,97,15,4,4,105,58,0,8,0,5,1.01,3.05,14,79,5,0,1
8,13.4356,30,0,79,0,14,1,2,91,20,1.01,2,4.11,4,2.02,1.01,10,8,14,4.49,1
3,1.5732,18,1,56,397,8,7,1,28,26,0,2,1.07,2,0,9.11,3,102,8,1.16,1
4,12.7614,43,7,166,0,10,1,1,45,69,2.02,8,5.31,15,3.03,1.01,7,8,5,6.92,0
8,9.33444,37,7,149,0,9,1,13,36,54,0,20,1.06,8,1.01,1.01,9,8,6,2.18,1
7,7.95479,19,4,72,95,12,3,1,66,39,0,5,0,3,0,2.02,8,73,3,0,1
10,10.3083,131,5,485,28,37,2,11,666,169,1.01,16,4.12,9,4.04,3.03,14,30,24,4.35,1
2,5.2415,4,2,15,6,2,3,0,1,6,1.01,2,1.01,1,1.01,0,3,18,2,0,1
6,5.41015,6,6,38,18,4,2,2,6,25,1.01,7,0,1,2.02,4.04,6,62,2,0,1
8,7.95479,27,5,106,95,14,3,2,91,53,0,7,0,5,1.01,2.02,9,73,5,0,1
3,10.7828,51,12,231,58,14,3,1,91,110,0,13,3.13,3,0,0,6,34,1,2.1,1
14,9.60428,31,13,141,18,5,2,1,10,66,1.01,13,4.08,0,1.01,4.04,14,62,2,2.09,1
2,7.83265,34,1,95,0,22,1,18,231,48,0,19,1.02,20,3.04,1.01,2,8,21,1.06,1
0,4.08525,2,0,7,388,2,7,0,1,2,0,0,0,2,0,5.06,0,87,2,0,1
16,2.62803,129,12,495,170,25,3,1,300,130,1.01,13,3.45,3,1.01,1.01,17,67,4,4.5,0
50,24.2321,212,20,795,133,21,2,7,210,171,2.02,27,12.73,6,5.06,6.13,59,46,3,19.01,0
17,14.9141,92,12,395,42,37,2,3,666,170,5.09,15,19.95,6,5.1,4.07,17,310,32,41.36,0
0,1.70656,4,1,21,0,2,1,0,1,8,0,1,0,6,0,2.03,0,23,2,0,1
6,7.95479,14,3,53,95,12,2,4,66,30,0,6,0,3,0,2.02,7,68,3,0,1
14,8.8113,62,5,275,0,22,1,1,231,83,1.01,6,2.05,11,1.01,1.01,14,25,18,3.28,1
27,27.658,150,10,533,49,27,4,8,351,143,1.01,15,15.85,10,2.02,24.4,28,148,25,19.15,0
2,10.302,29,14,195,0,21,1,1,210,77,0,14,1.02,2,0,1.01,2,21,16,2.15,1
0,4.07501,4,0,13,11,5,6,1,10,5,0,1,0,1,0,3.1,0,47,4,0,1
14,14.7972,43,16,332,26,20,1,4,190,76,2.04,19,4.15,17,2.04,1.01,16,8,17,4.61,1
5,8.1662,11,9,63,18,5,2,3,10,23,2.02,12,4.11,1,2.02,1.01,7,62,2,6.23,1
0,4.07501,1,0,4,0,1,1,1,0,1,0,1,0,2,0,1.01,0,8,1,0,1
3,2.61009,15,4,51,0,4,1,1,6,15,0,5,0,2,0,0,3,8,3,0,1
25,19.3262,141,17,528,0,54,1,36,1431,244,3.06,51,10.23,18,6.11,1.01,29,8,16,9.48,1
0,0,3,1,13,386,3,6,0,3,7,0,1,0,2,0,5.06,1,85,3,0,1
0,4.07501,5,2,22,1,3,3,3,3,6,0,5,0,3,0,1.01,0,31,3,0,1
1,6.70304,6,4,22,95,6,3,8,15,13,1.01,12,0,2,4.06,3.05,2,73,4,0,1
19,15.1859,53,5,193,402,13,2,4,78,34,0,9,5.13,4,0,1.01,24,8,7,9.86,0
0,2.27054,30,2,117,0,10,1,1,45,24,0,3,0,4,0,0,1,16,9,1.08,1
5,8.432,48,5,140,0,5,1,3,10,37,1.01,8,1.1,10,1.02,1.01,6,8,4,3.37,0
6,7.95479,16,2,59,95,13,3,5,78,31,0,7,0,13,3.03,2.02,7,76,4,0,1
14,19.5611,43,15,155,6,15,2,1,105,61,3.13,16,4.31,7,3.13,3.03,18,23,13,4.77,1
2,10.025,26,11,120,18,6,2,1,15,49,2.02,12,1.05,2,2.02,4.04,3,62,1,1.08,1
4,7.282,12,5,62,386,6,6,4,15,21,0,8,1.01,1,1.01,8.1,4,95,5,1.04,1
1,0,15,2,35,0,8,2,3,28,16,0,5,0,2,0,0,1,16,8,0,1
0,2.36846,5,1,23,384,4,4,1,6,10,0,2,0,4,0,2.02,1,41,4,0,1
1,6.70304,4,1,14,0,3,2,3,3,4,0,4,0,2,1.01,1.01,1,15,2,0,1
1,3.3409,10,3,37,2,3,2,1,3,11,1.02,4,1.05,2,1.03,4.05,1,15,2,1.17,0
18,19.8456,418,13,1782,412,23,5,4,253,498,0,17,5.4,3,2.02,5.06,18,94,22,8.85,1
0,0,26,9,89,2,12,2,0,66,54,0,9,0,5,0,0,1,41,11,0,1
1,4.39643,33,5,149,2,19,1,6,171,78,0,10,1.07,4,0,1.01,1,8,1,1.08,1
1,0,33,5,118,0,9,1,1,36,31,0,6,0,3,0,0,1,16,7,0,1
7,6.55214,19,5,72,384,9,5,1,36,29,2.02,6,0,2,3.03,5.06,7,76,9,0,1
0,10.8205,8,2,25,398,8,7,1,28,10,0,3,0,0,0,4.05,1,107,8,1.01,1
4,4.11229,36,11,152,19,5,3,1,10,58,0,12,2.09,3,0,1.01,4,67,1,2.2,1
4,10.9438,3,1,11,0,3,1,5,3,5,2.05,6,4.27,6,4.15,1.01,4,8,3,4.92,1
13,16.213,18,8,70,412,7,5,0,21,39,2.02,8,3.09,2,2.02,5.06,13,94,7,5.12,0
13,11.2364,49,12,184,421,5,5,1,10,73,2.02,13,2.05,2,2.02,5.06,13,93,5,2.13,0
3,6.70304,25,4,95,95,15,2,3,105,51,0,6,0,5,0,2.02,3,68,6,0,1
13,9.38026,37,25,162,0,7,1,2,21,61,1.04,26,3.11,8,1.04,1.01,14,8,2,1.15,1
9,12.7087,46,5,146,61,6,4,1,15,34,0,6,3.06,4,0,8.09,10,45,3,6.13,0
2,4.06989,14,1,34,0,10,1,7,45,12,1.01,8,1.04,4,4.07,1.01,2,8,10,1.09,1
0,1.47165,0,0,0,4,1,3,1,0,1,0,1,0,3,0,0,1,19,1,0,1
6,9.2993,38,3,142,0,14,1,0,91,59,0,3,0,3,0,1.01,9,8,8,0,0
169,48.228,1680,71,7341,295,131,2,4,8515,2390,13.25,75,56.95,86,13.25,8.1,205,19,9,91.44,0
33,17.5678,223,13,681,402,65,2,1,2080,237,3.04,14,9.43,4,3.04,1.01,36,8,2,13.78,1
1,7.51373,33,13,128,410,8,4,1,28,54,4.05,14,3.08,2,4.05,2.02,2,66,8,3.1,1
1,3.42081,25,2,83,0,9,1,1,36,24,0,3,0,4,0,1.01,1,8,8,1.06,1
1,6.94335,7,0,28,18,4,2,1,6,8,0,1,1.01,1,0,4.04,1,62,1,1.04,1
8,9.05113,30,9,103,33,7,2,0,21,36,1.01,9,1.02,1,1.01,1.01,9,82,2,1.29,1
1,4.07501,3,1,12,410,3,4,1,3,5,1.01,2,0,0,1.01,2.02,1,66,3,0,1
40,29.5302,124,34,549,63,45,4,22,990,243,4.07,51,17.77,2,10.13,10.23,44,161,31,20.37,1
1,2.36846,5,2,15,58,3,3,1,3,9,0,3,0,1,0,2.02,1,37,0,0,1
8,7.61486,63,7,264,141,8,2,1,28,85,0,8,4.78,7,0,2.02,8,35,5,5.07,1
1,6.94335,6,1,23,73,5,8,3,10,8,0,3,1.02,1,1.01,13.41,1,267,4,2.07,1
37,23.9899,14,8,54,0,13,1,7,78,37,0,15,1.02,1,1.01,1.01,41,8,13,1.03,1
6,5.25685,8,3,27,141,6,2,2,15,14,1.01,5,2.05,1,1.01,2.02,6,35,6,1.01,1
8,13.2934,6,6,35,52,2,2,1,1,14,1.01,7,2.03,0,1.01,3.03,10,25,2,3.15,0
3,7.93371,15,6,53,95,13,3,5,78,25,1.02,11,1.03,1,1.03,3.05,5,75,9,1.03,1
2,4.98614,24,7,65,397,4,5,1,6,25,0,8,0,0,0,5.07,2,94,3,1.13,1
2,5.00863,29,4,131,13,14,2,2,91,37,0,6,0,14,0,1.01,2,31,13,0,1
1,4.07501,25,8,92,0,13,2,1,78,39,0,9,0,11,0,1.01,1,30,12,0,1
15,14.5431,24,2,233,14,7,1,2,21,32,1.01,4,0,12,1.01,1.01,17,8,6,6.4,1
1,6.77104,13,1,39,152,12,2,4,66,14,0,5,1.02,1,2.03,1.01,1,41,11,2.06,1
0,0,0,0,0,7,1,4,1,0,1,0,1,0,1,0,0,1,25,1,0,1
4,5.38431,15,6,68,1,10,2,5,45,38,0,11,1.02,4,3.03,1.01,5,12,8,1.03,1
26,32.0766,196,21,661,0,31,1,7,465,319,8.11,25,20.95,14,10.13,0,31,0,11,21.8,1
15,17.8868,156,20,591,448,11,7,1,55,220,2.02,21,4.06,2,2.02,6.15,16,115,11,4.17,0
35,36.8083,171,36,639,0,27,1,3,351,248,9.15,39,17.98,20,10.17,2.02,41,10,2,22.24,0
1,6.94335,1,0,3,0,1,1,1,0,1,0,1,0,5,2.11,2.03,1,23,1,0,1
5,7.95479,16,2,60,95,12,3,1,66,35,0,3,0,3,0,2.02,6,73,3,0,1
48,37.8606,176,18,484,249,20,1,102,190,156,3.04,114,20.85,131,12.14,1.01,55,8,19,23.61,0
19,19.3371,260,8,796,219,8,2,3,28,104,4.04,11,9.46,7,5.06,6.09,24,55,8,13.77,1
16,23.6109,72,7,245,0,20,1,24,190,72,2.03,31,7.39,24,8.14,1.01,22,8,17,9.73,0
183,37.2855,470,53,1947,0,65,1,2,2080,680,5.12,55,14.78,12,5.12,1.01,196,8,10,22.22,0
1,2.96868,2,0,8,0,2,1,1,1,2,0,1,0,3,2.02,1.01,1,8,2,0,1
8,7.87568,124,25,402,6,60,2,1,1770,178,3.06,26,4.67,7,3.06,0,10,67,55,6.05,1
2,8.31142,53,13,231,22,7,3,1,21,74,2.03,14,1.2,0,2.03,4.04,3,68,1,1.43,1
6,8.11626,69,4,261,0,9,3,1,36,56,3.08,5,3.57,13,3.08,0,7,18,2,5.04,1
80,49.9143,659,39,2557,23,37,1,1,666,917,12.17,39,52.17,50,13.18,1.01,117,8,20,67.1,0
2,6.63337,35,4,121,5,14,2,3,91,72,0,7,1.04,5,0,1.01,2,13,13,1.04,1
85,37.9039,1148,76,4390,427,206,3,2,21115,1156,13.29,78,30.71,94,13.3,10.17,102,96,28,46.79,0
24,35.4473,73,19,407,11,16,1,6,120,125,5.07,24,14.57,17,6.08,1.01,32,9,9,21.92,0
4,3.63513,47,6,266,415,9,6,0,36,64,0,6,1.02,6,0,2.02,4,117,8,1.03,1
2,7.7102,10,0,35,380,5,2,20,10,10,1.01,20,1.01,7,5.07,2.02,2,27,5,2.07,1
13,7.18067,81,9,319,97,35,3,8,595,156,0,15,2.17,23,6.09,3.03,15,84,18,2.21,1
2,9.58612,17,1,29,0,5,2,1,10,6,0,2,0,3,0,1.01,3,11,3,0,1
6,8.27771,12,10,44,12,4,2,1,6,27,0,11,2.07,5,0,1.01,7,31,4,1.02,1
7,7.95479,27,4,106,95,14,3,1,91,51,0,5,0,5,0,3.05,8,73,5,0,1
88,36.1202,764,23,3184,35,80,1,5,3160,752,7.16,27,23.61,39,8.17,1.01,102,8,32,44.4,0
0,4.07501,0,0,0,4,1,3,2,0,1,0,2,0,3,0,3.05,0,19,1,0,1
7,4.07501,10,4,48,95,5,2,22,10,17,0,26,0,1,0,2.02,7,68,2,0,1
1,9.17374,20,1,78,0,16,1,1,120,39,1.01,2,1.42,5,1.01,1.01,2,8,16,2.33,1
3,6.65212,13,2,47,0,6,1,15,15,13,0,17,1.09,2,1.01,1.01,3,8,5,1.15,1
0,0,3,0,7,43,2,4,0,1,2,0,0,0,1,0,0,0,33,2,0,1
3,6.84846,21,3,80,95,15,3,5,105,43,0,7,0,5,4.04,2.02,4,76,5,0,1
